                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.62644,                0.63043,                 1.0107,                0.94598,                0.96794,                0.96461,                0.63854,                0.78386,                 0.3963,                 1.0348,             0.00027106,             0.00027106,             0.00027106
                      2,                0.67933,                0.66709,                 1.0325,                 0.9128,                0.89079,                0.93812,                0.62076,                0.97781,                 0.5317,                 1.0853,             0.00053786,             0.00053786,             0.00053786
                      3,                0.74321,                0.72437,                 1.0609,                 0.9101,                0.95157,                0.96027,                0.58688,                 1.0857,                0.52167,                 1.1648,             0.00079366,             0.00079366,             0.00079366
                      4,                0.78236,                0.78606,                 1.0839,                0.95388,                0.89936,                0.96324,                0.50749,                 1.1897,                0.62514,                 1.2722,             0.00078352,             0.00078352,             0.00078352
                      5,                0.79261,                0.79846,                 1.0906,                0.84955,                0.75864,                 0.8745,                0.52026,                 1.0766,                 0.6064,                 1.1735,             0.00076703,             0.00076703,             0.00076703
                      6,                0.76855,                0.78787,                 1.0878,                0.81515,                0.88255,                0.88643,                0.55004,                 1.1715,                0.70251,                 1.1326,             0.00075053,             0.00075053,             0.00075053
                      7,                0.77929,                0.78374,                 1.0898,                0.79412,                0.89211,                0.89232,                0.56114,                 1.1454,                0.54633,                 1.1655,             0.00073404,             0.00073404,             0.00073404
                      8,                0.74388,                0.75385,                 1.0685,                0.80957,                0.84977,                0.88397,                0.55312,                 1.0659,                0.49225,                 1.1242,             0.00071755,             0.00071755,             0.00071755
                      9,                0.75883,                0.78825,                 1.0728,                0.94241,                0.88833,                0.95657,                0.57519,                 1.0073,                0.48896,                 1.1422,             0.00070105,             0.00070105,             0.00070105
                     10,                0.76684,                 0.7673,                 1.0763,                0.95101,                0.93035,                0.96333,                0.59179,                 1.0438,                0.49167,                 1.1328,             0.00068456,             0.00068456,             0.00068456
                     11,                0.78021,                0.79261,                 1.0877,                0.86601,                0.87153,                0.91226,                0.54503,                0.99646,                0.49926,                 1.0935,             0.00066807,             0.00066807,             0.00066807
                     12,                0.75396,                0.76612,                  1.081,                 0.8424,                0.90321,                0.92564,                0.58973,                 1.0428,                0.52617,                 1.1224,             0.00065157,             0.00065157,             0.00065157
                     13,                0.75962,                 0.7401,                 1.0664,                  0.878,                0.87897,                0.87289,                0.51202,                 1.0328,                0.58925,                 1.1548,             0.00063508,             0.00063508,             0.00063508
                     14,                0.73961,                0.72029,                 1.0558,                0.91887,                0.91104,                0.96418,                0.58337,                 1.1693,                 0.4844,                 1.1937,             0.00061859,             0.00061859,             0.00061859
                     15,                0.72827,                0.69604,                 1.0647,                0.87753,                0.94087,                0.95258,                0.56416,                 1.0091,                0.46622,                 1.1716,             0.00060209,             0.00060209,             0.00060209
                     16,                0.71997,                 0.6988,                 1.0545,                0.92098,                0.89151,                 0.9164,                0.60906,                0.89732,                0.43253,                 1.0608,              0.0005856,              0.0005856,              0.0005856
                     17,                0.72759,                0.70832,                 1.0563,                0.94189,                0.88931,                0.95849,                0.63833,                0.77627,                0.40234,                  1.034,             0.00056911,             0.00056911,             0.00056911
                     18,                0.73391,                0.69707,                 1.0637,                  0.903,                0.90404,                0.90233,                0.57465,                0.81428,                0.46892,                 1.0997,             0.00055261,             0.00055261,             0.00055261
                     19,                 0.7117,                0.70481,                 1.0483,                0.96437,                0.89791,                  0.964,                0.64504,                0.85658,                0.44414,                 1.0632,             0.00053612,             0.00053612,             0.00053612
                     20,                0.70661,                0.69481,                 1.0502,                0.88759,                0.92533,                0.95358,                0.62517,                0.86247,                0.42768,                 1.0438,             0.00051963,             0.00051963,             0.00051963
                     21,                0.70193,                0.67327,                 1.0448,                0.90128,                 0.9012,                0.92828,                0.61348,                0.90866,                0.49337,                 1.0779,             0.00050313,             0.00050313,             0.00050313
                     22,                0.70421,                0.68627,                 1.0553,                0.93597,                0.88474,                0.90935,                0.57526,                 1.0129,                0.48709,                 1.1077,             0.00048664,             0.00048664,             0.00048664
                     23,                 0.6877,                0.67413,                 1.0421,                0.96186,                0.82667,                0.93751,                 0.5689,                 1.1342,                0.53016,                 1.1386,             0.00047015,             0.00047015,             0.00047015
                     24,                0.68552,                 0.6659,                 1.0377,                0.92676,                0.85438,                0.92721,                0.57645,                 1.1371,                0.47313,                 1.1453,             0.00045365,             0.00045365,             0.00045365
                     25,                0.69561,                  0.655,                 1.0469,                0.93542,                0.84117,                0.95286,                0.59035,                 1.0013,                0.50078,                 1.1121,             0.00043716,             0.00043716,             0.00043716
                     26,                0.67181,                0.63769,                  1.033,                0.94342,                0.89437,                0.94211,                 0.6205,                0.79999,                 0.4607,                 1.0636,             0.00042066,             0.00042066,             0.00042066
                     27,                0.65346,                0.62075,                 1.0218,                0.89089,                0.88508,                0.91098,                0.60824,                0.87104,                0.45611,                 1.0536,             0.00040417,             0.00040417,             0.00040417
                     28,                 0.6654,                0.63455,                 1.0237,                0.89459,                0.88063,                0.91929,                0.61356,                0.92501,                0.42903,                 1.0951,             0.00038768,             0.00038768,             0.00038768
                     29,                0.66297,                0.63961,                  1.026,                0.93533,                0.86038,                0.91514,                0.58371,                0.98348,                0.43487,                 1.0971,             0.00037118,             0.00037118,             0.00037118
                     30,                0.64155,                0.60251,                  1.015,                0.89951,                0.91192,                0.96132,                  0.617,                0.94761,                0.40244,                 1.0642,             0.00035469,             0.00035469,             0.00035469
                     31,                0.63249,                0.60065,                 1.0121,                 0.9025,                0.93152,                0.94063,                0.61337,                0.76939,                0.38424,                  1.044,              0.0003382,              0.0003382,              0.0003382
                     32,                0.63165,                0.60305,                 1.0175,                0.91135,                 0.9122,                0.96056,                 0.5632,                0.93287,                 0.4366,                 1.1156,              0.0003217,              0.0003217,              0.0003217
                     33,                0.63285,                0.60522,                 1.0082,                0.91965,                0.91927,                 0.9442,                0.62503,                0.88951,                0.36618,                 1.0864,             0.00030521,             0.00030521,             0.00030521
                     34,                0.60768,                0.57798,                  1.003,                0.93971,                0.94377,                0.96121,                0.64175,                0.87588,                0.39446,                  1.073,             0.00028872,             0.00028872,             0.00028872
                     35,                0.62326,                0.60115,                 1.0178,                0.94404,                0.94034,                0.95229,                0.64328,                0.85982,                 0.3942,                 1.0615,             0.00027222,             0.00027222,             0.00027222
                     36,                0.61105,                0.56757,                 1.0004,                0.95239,                0.95502,                0.96077,                0.62504,                 1.0008,                0.38786,                  1.095,             0.00025573,             0.00025573,             0.00025573
                     37,                0.60064,                0.57364,                0.99951,                0.92919,                0.93202,                0.95282,                0.62844,                0.88887,                0.37985,                 1.0589,             0.00023924,             0.00023924,             0.00023924
                     38,                0.58733,                0.55073,                0.99335,                0.97068,                0.94803,                0.96532,                0.62836,                 0.9252,                0.38294,                 1.0576,             0.00022274,             0.00022274,             0.00022274
                     39,                0.59278,                0.55321,                0.99349,                0.96509,                0.94233,                0.96537,                0.61537,                 0.7714,                0.36058,                 1.0217,             0.00020625,             0.00020625,             0.00020625
                     40,                0.59104,                0.55319,                0.99523,                0.93869,                0.94153,                0.95328,                0.64406,                0.70203,                0.33594,                 1.0207,             0.00018976,             0.00018976,             0.00018976
                     41,                0.56422,                  0.433,                0.96539,                0.93677,                0.91258,                0.95469,                0.64254,                0.80176,                0.36895,                 1.0538,             0.00017326,             0.00017326,             0.00017326
                     42,                0.54361,                0.41821,                0.95723,                 0.9488,                0.91294,                0.96098,                 0.6103,                 1.1147,                0.38594,                 1.1364,             0.00015677,             0.00015677,             0.00015677
                     43,                0.52704,                0.40184,                0.95533,                0.93458,                0.93071,                0.96102,                0.63022,                 1.0267,                0.38964,                 1.1072,             0.00014028,             0.00014028,             0.00014028
                     44,                0.52401,                0.38768,                0.93711,                 0.9151,                0.96467,                0.96161,                0.65809,                0.83026,                0.39756,                 1.0545,             0.00012378,             0.00012378,             0.00012378
                     45,                0.49486,                0.37556,                0.93799,                0.94295,                0.96144,                0.96543,                0.65027,                0.96363,                0.38614,                 1.0765,             0.00010729,             0.00010729,             0.00010729
                     46,                0.48162,                0.37847,                 0.9329,                0.93787,                0.94089,                 0.9617,                  0.663,                0.86507,                0.35863,                 1.0395,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     47,                0.48369,                0.37424,                0.92993,                0.95413,                0.93818,                0.96607,                0.64497,                0.90043,                0.38279,                 1.0476,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     48,                0.47991,                0.36701,                0.92309,                0.95002,                0.95512,                0.96619,                 0.6444,                0.93439,                0.37873,                 1.0794,              5.781e-05,              5.781e-05,              5.781e-05
                     49,                0.46326,                0.36595,                0.91794,                0.95453,                0.96756,                0.96578,                0.64483,                0.93763,                0.37549,                 1.0801,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     50,                 0.4667,                 0.3626,                0.91652,                0.96083,                0.96875,                0.96587,                0.65552,                0.85801,                0.38674,                 1.0465,             2.4823e-05,             2.4823e-05,             2.4823e-05
